city_id,date_updated,lat,lon,city_name,date,humidity,wind_sp,cloudiness,prob_preci,uv_index,day_temp,day_temp_feels,rain
281857541,2022-01-02,43.9492493,4.8059012,Avignon,1641726000,53,6.17,66,0.74,2,10.62,9.12,1.78
282263463,2022-01-02,44.02856055,4.420493673910444,Uzes,1641207600,57,3.17,47,0,0.95,13.59,12.49,0
282263463,2022-01-02,44.02856055,4.420493673910444,Uzes,1641294000,65,1.68,94,0.08,1.16,11.89,10.83,0
282263463,2022-01-02,44.02856055,4.420493673910444,Uzes,1641380400,61,10.76,97,0.99,0.81,10.64,9.35,4.51
282263463,2022-01-02,44.02856055,4.420493673910444,Uzes,1641466800,55,12.03,11,0.03,1.22,6.7,1.53,0
282263463,2022-01-02,44.02856055,4.420493673910444,Uzes,1641553200,53,4.84,100,0,2,6.14,4.04,0
282263463,2022-01-02,44.02856055,4.420493673910444,Uzes,1641639600,52,7.11,6,0,2,8.55,5.04,0
282263463,2022-01-02,44.02856055,4.420493673910444,Uzes,1641726000,52,7.49,80,0.72,2,10.51,8.97,1.39
122444,2022-01-02,43.8374249,4.3600687,Nimes,1641207600,55,2.74,71,0,1.11,13.98,12.87,0
122444,2022-01-02,43.8374249,4.3600687,Nimes,1641294000,63,2.99,83,0.24,1.23,12.63,11.59,0.12
122444,2022-01-02,43.8374249,4.3600687,Nimes,1641380400,58,10,95,0.98,1.04,11.32,10.02,4.01
122444,2022-01-02,43.8374249,4.3600687,Nimes,1641466800,50,10.55,8,0.01,1.2,7.6,2.94,0
122444,2022-01-02,43.8374249,4.3600687,Nimes,1641553200,49,4.74,100,0,2,6.67,4.82,0
122444,2022-01-02,43.8374249,4.3600687,Nimes,1641639600,48,6.53,6,0,2,9.3,6.18,0
122444,2022-01-02,43.8374249,4.3600687,Nimes,1641726000,47,7.2,85,0.57,2,11.26,9.67,0.87
122788,2022-01-02,43.5658225,4.1912837,Aigues Mortes,1641207600,60,3.19,70,0,1.11,13.53,12.51,0
122788,2022-01-02,43.5658225,4.1912837,Aigues Mortes,1641294000,76,4.64,81,0.22,1.23,12.92,12.25,0.17
122788,2022-01-02,43.5658225,4.1912837,Aigues Mortes,1641380400,60,11.07,90,0.94,1.04,11.82,10.62,3.08
122788,2022-01-02,43.5658225,4.1912837,Aigues Mortes,1641466800,49,11.06,8,0,1.2,8.65,4.46,0
122788,2022-01-02,43.5658225,4.1912837,Aigues Mortes,1641553200,46,5.43,100,0,2,6.84,5.26,0
122788,2022-01-02,43.5658225,4.1912837,Aigues Mortes,1641639600,48,6.12,5,0,2,9.93,7.11,0
122788,2022-01-02,43.5658225,4.1912837,Aigues Mortes,1641726000,52,9.88,94,0.34,2,11.64,10.22,0.77
125804,2022-01-02,43.4522771,4.4287172,Saintes Maries de la mer,1641207600,61,3.81,69,0,1.17,13.74,12.76,0
125804,2022-01-02,43.4522771,4.4287172,Saintes Maries de la mer,1641294000,82,6.36,57,0,1.24,13.81,13.39,0
125804,2022-01-02,43.4522771,4.4287172,Saintes Maries de la mer,1641380400,63,12.97,85,0.99,1.04,11.49,10.34,4.31
125804,2022-01-02,43.4522771,4.4287172,Saintes Maries de la mer,1641466800,57,15,24,0,1.2,7.96,2.85,0
125804,2022-01-02,43.4522771,4.4287172,Saintes Maries de la mer,1641553200,52,8.28,99,0,2,6.94,4.38,0
125804,2022-01-02,43.4522771,4.4287172,Saintes Maries de la mer,1641639600,53,8.61,6,0,2,9.65,6.06,0
125804,2022-01-02,43.4522771,4.4287172,Saintes Maries de la mer,1641726000,55,11.1,86,0.28,2,11.59,10.24,0.58
